# 4-fold metric (Psi4)
# References: Mickel, W., J. Chem. Phys. (2013), Escobedo, F., Soft Matter (2011)
# length: 3493
# region_index	Psi4
8	0.940
9	0.970
10	0.845
15	0.979
16	0.973
17	0.608
18	0.900
19	0.949
20	0.906
21	0.944
22	0.760
23	0.982
24	0.915
26	0.752
30	0.981
31	0.838
32	0.933
33	0.807
36	0.967
37	0.897
38	0.903
39	0.928
44	0.786
45	0.869
46	0.863
47	0.998
48	0.958
52	0.415
53	0.742
54	0.768
55	0.944
56	0.979
62	0.768
63	0.845
65	0.901
66	0.952
67	0.964
68	0.914
69	0.966
70	0.936
71	0.964
72	0.967
73	0.990
74	0.796
75	0.697
79	0.966
80	0.835
81	0.923
82	0.901
84	0.564
85	0.989
87	0.934
88	1.000
89	0.943
90	0.983
91	0.897
92	0.949
93	0.678
94	0.944
95	0.929
96	0.859
97	0.973
98	0.963
99	0.765
100	0.958
101	0.918
103	0.652
104	0.496
107	0.970
109	0.969
112	0.477
113	0.932
116	0.917
117	0.881
122	0.932
123	0.899
124	0.948
125	0.886
127	0.915
128	0.852
129	0.856
131	0.877
132	0.948
133	0.853
134	0.901
135	0.945
136	0.935
137	0.922
138	0.941
139	0.956
140	0.878
141	0.967
142	0.906
143	0.955
146	0.903
147	0.940
148	0.936
149	0.951
150	0.791
151	0.945
152	0.945
154	0.503
155	0.758
156	0.876
157	0.926
158	0.927
159	0.518
161	0.556
163	0.884
169	0.886
170	0.958
171	0.962
172	0.922
173	0.962
174	0.899
176	0.281
177	0.556
178	0.933
184	0.979
185	0.946
186	0.958
187	0.967
188	0.946
189	0.931
190	0.895
191	0.979
192	0.661
193	0.945
194	0.673
195	0.973
196	0.990
197	0.987
198	0.935
199	0.953
200	0.966
201	0.932
202	0.927
203	0.942
204	0.971
205	0.913
206	0.907
207	0.948
208	0.957
209	0.881
210	0.842
211	0.940
212	0.954
213	0.971
214	0.910
215	0.954
216	0.923
217	0.945
218	0.931
219	0.961
220	0.857
221	0.878
222	0.992
223	0.980
224	0.989
225	0.969
226	0.878
227	0.932
228	0.934
229	0.995
230	0.969
231	0.958
232	0.871
233	0.937
236	0.697
237	0.952
240	0.745
241	0.694
242	0.367
243	0.977
244	0.255
245	0.775
246	0.916
247	0.913
249	0.958
250	0.921
259	0.682
260	0.772
261	0.898
262	0.755
265	0.539
266	0.975
267	0.935
268	0.963
269	0.908
270	0.944
271	0.947
272	0.919
273	0.947
274	0.909
275	0.825
276	0.897
277	0.938
278	0.868
279	0.948
280	0.930
281	0.886
282	0.970
283	0.940
284	0.942
287	0.928
289	0.771
290	0.265
291	0.907
292	0.358
293	0.895
294	0.955
295	0.995
296	0.947
297	0.977
298	0.920
299	0.926
300	0.976
301	0.982
302	0.888
303	0.905
304	0.975
305	0.990
306	0.901
307	0.928
308	0.950
309	0.927
310	0.858
311	0.874
315	0.706
317	0.766
319	0.928
320	0.872
321	0.922
322	0.929
323	0.886
324	0.956
325	0.912
326	0.914
327	0.950
328	0.950
329	0.967
330	0.953
331	0.948
332	0.866
333	0.898
334	0.898
335	0.930
336	0.926
337	0.965
338	0.778
340	0.942
341	0.810
342	0.501
343	0.948
344	0.915
