# 4-fold metric (Psi4)
# References: Mickel, W., J. Chem. Phys. (2013), Escobedo, F., Soft Matter (2011)
# length: 3546
# region_index	Psi4
1	0.699
4	0.941
5	0.973
6	0.972
7	0.952
8	0.963
9	0.941
10	0.905
11	0.895
13	0.942
15	0.969
21	0.703
22	0.978
25	0.905
27	0.808
28	0.302
33	0.891
35	0.947
37	0.598
38	0.912
39	0.895
40	0.872
41	0.919
43	0.690
44	0.516
45	0.906
46	0.767
47	0.956
49	0.900
50	0.675
51	0.923
52	0.413
53	0.749
54	0.929
55	0.877
56	0.922
57	0.915
58	0.964
59	0.906
60	0.998
61	0.841
62	0.945
63	0.947
64	0.886
65	0.967
66	0.936
67	0.873
68	0.881
69	0.935
70	0.918
71	0.745
73	0.933
75	0.886
76	0.931
77	0.850
78	0.850
79	0.886
82	0.948
83	0.890
84	0.968
88	0.736
91	0.725
92	0.980
93	0.974
94	0.963
95	0.926
96	0.883
97	0.877
98	0.925
99	0.906
100	0.880
101	0.900
102	0.912
103	0.904
105	0.915
106	0.675
107	0.535
108	0.979
109	0.870
110	0.816
112	0.933
114	0.855
115	0.807
116	0.969
117	0.943
119	0.898
120	0.988
128	0.940
129	0.949
131	0.867
132	0.928
133	0.910
134	0.958
135	0.983
136	0.889
137	0.949
138	0.950
139	0.939
140	0.896
141	0.913
142	0.835
143	0.920
144	0.953
145	0.942
146	0.961
147	0.954
148	0.728
151	0.820
152	0.778
153	0.946
154	0.862
155	0.952
156	0.935
157	0.927
158	0.902
159	0.948
160	0.942
161	0.922
162	0.915
163	0.913
164	0.917
165	0.936
166	0.917
167	0.939
168	0.931
169	0.949
170	0.858
171	0.957
172	0.891
173	0.898
174	0.934
175	0.937
177	0.863
178	0.869
179	0.904
180	0.942
181	0.958
182	0.913
183	0.807
184	0.897
185	0.600
187	0.769
188	0.631
189	0.808
190	0.950
191	0.943
192	0.861
193	0.848
194	0.905
195	0.930
196	0.890
197	0.915
198	0.847
200	0.971
201	0.977
206	0.854
207	0.975
209	0.923
210	0.915
211	0.818
212	0.899
213	0.904
214	0.991
215	0.787
216	0.922
217	0.346
220	0.916
221	0.868
222	0.919
223	0.846
224	0.964
227	0.847
228	0.721
230	0.754
232	0.737
233	0.877
234	0.903
235	0.947
236	0.972
237	0.938
238	0.877
239	0.882
240	0.929
241	0.948
242	0.945
243	0.956
244	0.944
245	0.907
246	0.968
247	0.881
248	0.985
249	0.971
250	0.970
251	0.969
252	0.890
253	0.954
254	0.942
255	0.214
257	0.910
258	0.898
259	0.909
260	0.954
261	0.985
262	0.967
263	0.976
264	0.944
265	0.970
266	0.979
267	0.891
268	0.683
269	0.888
270	0.903
272	0.869
273	0.854
274	0.703
275	0.912
276	0.427
277	0.637
280	0.828
281	0.549
283	0.945
284	0.946
287	0.709
291	0.801
292	0.888
293	0.972
295	0.932
299	0.916
302	0.917
303	0.998
304	0.979
306	0.914
307	0.935
308	0.957
309	0.966
310	0.950
311	0.905
312	0.899
313	0.925
314	0.941
315	0.934
316	0.913
317	0.951
318	0.990
319	0.915
320	0.911
322	0.882
323	0.959
324	0.664
327	0.868
328	0.790
331	0.720
332	0.942
336	0.898
337	0.975
338	0.856
339	0.881
340	0.674
341	0.834
342	0.903
343	0.914
344	0.919
345	0.947
346	0.919
347	0.970
