# Particle centroids in pixel units
# Particle radii - the average of the major and minor radii of an ellipse fit to the particle area
# total particles: 3726
# mean radius (raw data): 3.3 Std.Dev. 0.31 (nm), 9.5 Std.Dev. 0.89 (pixels)
# mean radius (gaussian fit): 3.3 Std.Dev. 0.13 (nm), 9.4 Std.Dev. 0.39 (pixels)
# X (pixel)	Y (pixel)	radius (nm)
2.8900e+02	1.1444e+01	2.7561e+00
4.9438e+02	1.0597e+01	2.7698e+00
9.6782e+02	1.1171e+01	2.9958e+00
1.2381e+03	1.1278e+01	2.8559e+00
1.3608e+03	1.0962e+01	3.2610e+00
2.8070e+01	1.1496e+01	3.2377e+00
2.3275e+02	1.1389e+01	3.2548e+00
2.5964e+02	1.1568e+01	3.1552e+00
4.6738e+02	1.1829e+01	2.9195e+00
6.6588e+02	1.2009e+01	3.0604e+00
6.9278e+02	1.1884e+01	2.9757e+00
9.1502e+02	1.1717e+01	2.9370e+00
9.4106e+02	1.2186e+01	3.0413e+00
1.1141e+03	1.1600e+01	3.1627e+00
4.1251e+02	1.2888e+01	3.5836e+00
4.3927e+02	1.2606e+01	3.4025e+00
5.6146e+02	1.4253e+01	4.2248e+00
6.1357e+02	1.2877e+01	3.8277e+00
6.3973e+02	1.2794e+01	3.5912e+00
8.8829e+02	1.2835e+01	3.3968e+00
1.2079e+03	1.1655e+01	4.2236e+00
1.2797e+03	1.8349e+01	6.0613e+00
1.3020e+03	1.2337e+01	3.5338e+00
1.7786e+02	1.3063e+01	3.9923e+00
2.0431e+02	1.3362e+01	3.4907e+00
3.8593e+02	1.3315e+01	4.0107e+00
7.8375e+02	1.3851e+01	4.3975e+00
8.6168e+02	1.3077e+01	3.8927e+00
8.3495e+02	1.4100e+01	3.8783e+00
1.0877e+03	1.3636e+01	4.4361e+00
1.4942e+02	1.4512e+01	4.2369e+00
5.8734e+02	1.4202e+01	3.7755e+00
1.0597e+03	1.4991e+01	3.8635e+00
1.1839e+03	1.4854e+01	3.7150e+00
1.2023e+02	1.4503e+01	4.8861e+00
3.5851e+02	1.5574e+01	3.9145e+00
5.3250e+02	1.4450e+01	5.0770e+00
8.0950e+02	1.4361e+01	3.8256e+00
1.1538e+03	1.4275e+01	5.2115e+00
3.3445e+02	1.6111e+01	4.2425e+00
1.0025e+03	1.6501e+01	4.3610e+00
1.0320e+03	1.5009e+01	4.6200e+00
5.0881e+02	2.0262e+01	3.0999e+00
7.5512e+02	1.5591e+01	5.0030e+00
1.3417e+03	1.6940e+01	4.0811e+00
9.1159e+01	1.6629e+01	4.6975e+00
3.0868e+02	1.7158e+01	4.4205e+00
7.2648e+02	1.6806e+01	4.8050e+00
1.3195e+03	1.9568e+01	4.4364e+00
4.3953e+01	1.8558e+01	4.1997e+00
6.6626e+01	1.9599e+01	4.1261e+00
4.8229e+02	2.2024e+01	3.3576e+00
9.8171e+02	2.1672e+01	3.0024e+00
1.2510e+03	2.0876e+01	2.7557e+00
2.7659e+02	2.2346e+01	3.2348e+00
7.0678e+02	2.2362e+01	3.2277e+00
9.5549e+02	2.2436e+01	3.0927e+00
1.1294e+03	2.3410e+01	3.5775e+00
2.4928e+02	2.3414e+01	3.2939e+00
6.8052e+02	2.4234e+01	3.2792e+00
1.3382e+01	2.4016e+01	3.8413e+00
4.5413e+02	2.4357e+01	3.2538e+00
6.5452e+02	2.5313e+01	3.1848e+00
9.2807e+02	2.4299e+01	3.1463e+00
2.2198e+02	2.4898e+01	3.2414e+00
1.2238e+03	2.5318e+01	3.6250e+00
4.0070e+02	2.6933e+01	3.2513e+00
6.2837e+02	2.7011e+01	3.2611e+00
9.0293e+02	2.6102e+01	3.1655e+00
1.1027e+03	2.5451e+01	2.7197e+00
1.6573e+02	2.8423e+01	3.2050e+00
4.2733e+02	2.7477e+01	3.3446e+00
6.0166e+02	2.8515e+01	3.2152e+00
1.0773e+03	2.8624e+01	3.2285e+00
1.9385e+02	2.7821e+01	3.1425e+00
8.2301e+02	2.9166e+01	3.1132e+00
8.4854e+02	2.8435e+01	3.1629e+00
8.7531e+02	2.7422e+01	3.3569e+00
1.3865e+02	3.1368e+01	3.5556e+00
3.7355e+02	2.9809e+01	3.2843e+00
5.7486e+02	3.0273e+01	3.4326e+00
7.9757e+02	3.1087e+01	3.2086e+00
1.0496e+03	3.0369e+01	3.2581e+00
1.1958e+03	3.0338e+01	3.3093e+00
5.2256e+02	3.2665e+01	3.3197e+00
1.3613e+03	3.1561e+01	3.9856e+00
3.1893e+02	3.3808e+01	3.3039e+00
5.4956e+02	3.1897e+01	3.2704e+00
7.2047e+02	3.4969e+01	3.2281e+00
1.1698e+03	3.2028e+01	3.1647e+00
1.2619e+03	3.2434e+01	3.2319e+00
8.4520e+01	3.3472e+01	3.0997e+00
3.4526e+02	3.2929e+01	3.1416e+00
1.1001e+02	3.3520e+01	3.3109e+00
2.9291e+02	3.4539e+01	3.2589e+00
7.4537e+02	3.4467e+01	3.1631e+00
7.7218e+02	3.3464e+01	3.2370e+00
1.0230e+03	3.3392e+01	3.3437e+00
1.1440e+03	3.4840e+01	3.3345e+00
2.8772e+01	3.6325e+01	3.2568e+00
5.6354e+01	3.5592e+01	3.4148e+00
4.9712e+02	3.5325e+01	3.2785e+00
9.9620e+02	3.3540e+01	3.4451e+00
1.2394e+03	3.4744e+01	2.9045e+00
2.3637e+02	3.7645e+01	3.5138e+00
2.6413e+02	3.6738e+01	3.3256e+00
9.6881e+02	3.5768e+01	3.2511e+00
1.3311e+03	3.7146e+01	3.1947e+00
4.4189e+02	3.8851e+01	3.3289e+00
4.6894e+02	3.6963e+01	3.2468e+00
6.4256e+02	3.9352e+01	3.2957e+00
6.9418e+02	3.7820e+01	3.2258e+00
6.6776e+02	3.9045e+01	3.2401e+00
9.1668e+02	3.9153e+01	3.2427e+00
9.4280e+02	3.7902e+01	3.3613e+00
2.0900e+02	3.9507e+01	3.3290e+00
1.0640e+03	4.0928e+01	3.2288e+00
1.0927e+03	4.0084e+01	3.2390e+00
4.1483e+02	4.1060e+01	3.1244e+00
1.8238e+02	4.0924e+01	3.3167e+00
8.6370e+02	4.1839e+01	3.4217e+00
8.8952e+02	4.1512e+01	3.1376e+00
1.1176e+03	3.9930e+01	3.2897e+00
1.3064e+03	3.9757e+01	3.2609e+00
6.1589e+02	4.1882e+01	3.4258e+00
1.5419e+02	4.3696e+01	3.1481e+00
3.6096e+02	4.3170e+01	3.2736e+00
3.8713e+02	4.2869e+01	3.2827e+00
1.1598e+03	4.6070e+01	2.8558e+00
5.6340e+02	4.5244e+01	3.3664e+00
5.8996e+02	4.4538e+01	3.2838e+00
8.1127e+02	4.4798e+01	3.2504e+00
1.0337e+03	4.5055e+01	2.5617e+00
1.2509e+03	4.6779e+01	3.3855e+00
1.2786e+03	4.3741e+01	3.5381e+00
5.3729e+02	4.5772e+01	3.2412e+00
7.8540e+02	4.5940e+01	3.1353e+00
8.3785e+02	4.4285e+01	3.0977e+00
9.8423e+01	4.6522e+01	3.1425e+00
1.2568e+02	4.5702e+01	3.4376e+00
3.3295e+02	4.6343e+01	3.3099e+00
5.1164e+02	4.7815e+01	3.2896e+00
7.2556e+01	4.7990e+01	3.3678e+00
3.0662e+02	4.7838e+01	3.2348e+00
7.6057e+02	4.7000e+01	3.3622e+00
1.1809e+03	4.3942e+01	2.5082e+00
1.3470e+03	4.7785e+01	3.5475e+00
9.8303e+02	4.9204e+01	3.3027e+00
4.3466e+01	5.0060e+01	3.2339e+00
2.7880e+02	4.9692e+01	3.3288e+00
4.8375e+02	4.9881e+01	3.3567e+00
7.0817e+02	5.0394e+01	3.2477e+00
7.3381e+02	4.9252e+01	3.4392e+00
9.5632e+02	5.0462e+01	3.1478e+00
1.1319e+03	4.9705e+01	3.0924e+00
1.4264e+01	5.0837e+01	4.0585e+00
2.2341e+02	5.1764e+01	3.1527e+00
4.5645e+02	5.1173e+01	3.2574e+00
6.8129e+02	5.2147e+01	3.2404e+00
9.3030e+02	5.3112e+01	3.2922e+00
1.3183e+03	5.2547e+01	3.1446e+00
2.5217e+02	5.1952e+01	3.2745e+00
6.5561e+02	5.3229e+01	3.2010e+00
1.1053e+03	5.4977e+01	3.5096e+00
1.9758e+02	5.3908e+01	3.2790e+00
4.2899e+02	5.3036e+01	3.3164e+00
9.0321e+02	5.3921e+01	3.5263e+00
1.0128e+03	5.3534e+01	4.1984e+00
4.0201e+02	5.4128e+01	3.3129e+00
6.2937e+02	5.4644e+01	3.1439e+00
1.2113e+03	4.9692e+01	6.1918e+00
1.6875e+02	5.6030e+01	3.4722e+00
3.7540e+02	5.6091e+01	3.1640e+00
8.7720e+02	5.5292e+01	3.3418e+00
1.0766e+03	5.5796e+01	3.3761e+00
1.2928e+03	5.5524e+01	3.3139e+00
6.0338e+02	5.6321e+01	3.0971e+00
8.5043e+02	5.6209e+01	3.2760e+00
5.7770e+02	5.8004e+01	3.2529e+00
8.2509e+02	5.7186e+01	3.2056e+00
1.1332e+02	5.9274e+01	3.2753e+00
1.4133e+02	5.8383e+01	3.4012e+00
3.4742e+02	5.8435e+01	3.4800e+00
5.2538e+02	6.0162e+01	3.1749e+00
7.9969e+02	5.9004e+01	3.1696e+00
1.1741e+03	5.8154e+01	3.4127e+00
5.5104e+02	5.9695e+01	3.2679e+00
7.7417e+02	6.0706e+01	3.1306e+00
1.0282e+03	5.9313e+01	2.3735e+00
1.2660e+03	6.0309e+01	3.6224e+00
1.3621e+03	6.0405e+01	3.5037e+00
8.7148e+01	6.0968e+01	3.3387e+00
2.9497e+02	6.1779e+01	3.3280e+00
9.9820e+02	6.2085e+01	3.2298e+00
1.0503e+03	5.7521e+01	3.1800e+00
1.1449e+03	6.1354e+01	3.6726e+00
3.2050e+02	6.1558e+01	3.2312e+00
7.2280e+02	6.3587e+01	3.1678e+00
7.4774e+02	6.2135e+01	3.1926e+00
3.1435e+01	6.3550e+01	3.2635e+00
5.8152e+01	6.3189e+01	3.4629e+00
2.6672e+02	6.3727e+01	3.3535e+00
4.7086e+02	6.3289e+01	3.2633e+00
4.9885e+02	6.2649e+01	3.3035e+00
2.3904e+02	6.4609e+01	3.3202e+00
1.1201e+03	6.4426e+01	2.8056e+00
1.2387e+03	6.3770e+01	3.2803e+00
1.3336e+03	6.4357e+01	3.4303e+00
6.9683e+02	6.5230e+01	3.3923e+00
9.7137e+02	6.5369e+01	2.7921e+00
