# Particle centroids in pixel units
# Particle radii - half of the average of the major and minor diameters of an ellipse fit to the particle area
# total particles: 3676
# mean radius: 3.2 Std.Dev. 0.14 (nm), 9.3 Std.Dev. 0.39 (pixels)
# X (pixel)	Y (pixel)	radius (nm)
2.3035e+02	1.2480e+01	3.2963e+00
4.3445e+02	1.2485e+01	2.9112e+00
6.6628e+02	1.1983e+01	3.6048e+00
1.7881e+02	1.3171e+01	4.3203e+00
2.0583e+02	1.3291e+01	3.9948e+00
3.8694e+02	1.3332e+01	4.3377e+00
4.1321e+02	1.3182e+01	3.7798e+00
6.1032e+02	1.3301e+01	3.4208e+00
8.5710e+02	1.3222e+01	3.0375e+00
1.1760e+03	1.3916e+01	3.1325e+00
1.2065e+03	1.3768e+01	3.3926e+00
1.2660e+03	1.3717e+01	3.0952e+00
1.3020e+03	1.3717e+01	3.0952e+00
1.5665e+01	1.6792e+01	4.3570e+00
1.5037e+02	1.4304e+01	4.3188e+00
3.5791e+02	1.4500e+01	4.2948e+00
5.0977e+02	1.5550e+01	4.6155e+00
5.6193e+02	1.4621e+01	4.3540e+00
5.8813e+02	1.4168e+01	4.0667e+00
7.8502e+02	1.4573e+01	4.3047e+00
8.0977e+02	1.4342e+01	4.0663e+00
8.3596e+02	1.3831e+01	4.1995e+00
9.2736e+02	1.6804e+01	5.1915e+00
1.1568e+03	1.5252e+01	4.4732e+00
1.1905e+03	1.5251e+01	3.4029e+00
4.0952e+01	1.6271e+01	4.9308e+00
6.8905e+01	1.6803e+01	4.7274e+00
1.2303e+02	1.4746e+01	4.4924e+00
2.5358e+02	1.6562e+01	5.5344e+00
3.3257e+02	1.5575e+01	4.5036e+00
4.5435e+02	1.7406e+01	5.0467e+00
4.8236e+02	1.6414e+01	4.8955e+00
5.3628e+02	1.5470e+01	4.4212e+00
7.0573e+02	1.6482e+01	4.6943e+00
7.3125e+02	1.6140e+01	4.6787e+00
7.5865e+02	1.5812e+01	4.7001e+00
8.7509e+02	1.9685e+01	5.0560e+00
9.0052e+02	1.8263e+01	5.0882e+00
9.5552e+02	1.6326e+01	4.8221e+00
1.0109e+03	1.5911e+01	3.9332e+00
1.1031e+03	1.6849e+01	4.8266e+00
1.1297e+03	1.7510e+01	5.0436e+00
1.2255e+03	1.9072e+01	5.0275e+00
1.2493e+03	1.5981e+01	4.1099e+00
9.5254e+01	1.5918e+01	4.6537e+00
6.3329e+02	1.7838e+01	5.8542e+00
1.2857e+03	1.9285e+01	5.0741e+00
1.3196e+03	1.8184e+01	4.7413e+00
3.0520e+02	1.5909e+01	4.7194e+00
9.8685e+02	1.7545e+01	5.5929e+00
1.0437e+03	1.8874e+01	6.8564e+00
1.0772e+03	1.9310e+01	5.4038e+00
1.3524e+03	1.8214e+01	6.3085e+00
2.7962e+02	1.7683e+01	4.3375e+00
6.8272e+02	1.9527e+01	4.3393e+00
6.5460e+02	2.5042e+01	3.2345e+00
2.2157e+02	2.4834e+01	3.1220e+00
4.0090e+02	2.6565e+01	3.2730e+00
1.6582e+02	2.8286e+01	3.2488e+00
4.2702e+02	2.7250e+01	3.3209e+00
8.2315e+02	2.8839e+01	3.0719e+00
1.9376e+02	2.7661e+01	3.1304e+00
3.7344e+02	2.9777e+01	3.3380e+00
6.0173e+02	2.8528e+01	3.2493e+00
8.4878e+02	2.8035e+01	3.2198e+00
5.7486e+02	3.0107e+01	3.4197e+00
7.9788e+02	3.0976e+01	3.1591e+00
5.4960e+02	3.2363e+01	3.1267e+00
1.2978e+01	3.2827e+01	2.5387e+00
1.3867e+02	3.1418e+01	3.5392e+00
5.2261e+02	3.3102e+01	3.2209e+00
7.2050e+02	3.5051e+01	3.3377e+00
1.1697e+03	3.2226e+01	3.0472e+00
1.1963e+03	3.1515e+01	3.0670e+00
8.4327e+01	3.3460e+01	3.1079e+00
3.4525e+02	3.3049e+01	3.0898e+00
1.0227e+03	3.3026e+01	3.1226e+00
2.9284e+02	3.4380e+01	3.2370e+00
